customer_id,churn_probability,risk_decile,monetary_total,frequency,recency_days,acquisition_channel,loyalty_tier,expected_revenue_at_risk
CUST017622,0.9598,2,18882.02,7.0,257.0,Referral,Silver,18122.96
CUST009284,0.9703,1,18569.98,2.0,371.0,Email Campaign,Silver,18018.45
CUST002953,0.9085,2,19805.66,3.0,164.0,Paid Social,Bronze,17993.44
CUST015539,0.8753,3,20469.579999999998,5.0,238.0,Organic Search,Platinum,17917.02
CUST013878,0.7767,3,23052.7,6.0,77.0,Direct,Bronze,17905.03
CUST000775,0.8443,3,21172.52,9.0,119.0,Direct,Platinum,17875.96
CUST005695,0.8119,3,21930.21,7.0,86.0,Influencer,Silver,17805.14
CUST010373,0.9085,2,19494.52,6.0,212.0,Referral,Bronze,17710.77
CUST014813,0.9005,3,19645.9,12.0,181.0,Influencer,Gold,17691.13
CUST009690,0.6271,4,28034.25,11.0,73.0,Organic Search,,17580.28
CUST015718,0.9847,1,17791.989999999998,3.0,383.0,Marketplace,Silver,17519.77
CUST010982,0.8171,3,21394.989999999998,11.0,108.0,Marketplace,Platinum,17481.85
CUST008651,0.9042,3,19323.42,2.0,157.0,Referral,Bronze,17472.24
CUST015763,0.9739,1,17740.79,2.0,334.0,Organic Search,Bronze,17277.76
CUST008553,0.9576,2,17910.52,2.0,408.0,Referral,Gold,17151.11
CUST015014,0.8329,3,20566.97,3.0,58.0,,Silver,17130.23
CUST003205,0.9451,2,18103.420000000002,2.0,198.0,Paid Social,Silver,17109.54
CUST003673,0.9245,2,18404.06,5.0,93.0,Referral,Bronze,17014.55
CUST016457,0.7871,3,21371.86,7.0,62.0,Direct,Bronze,16821.79
CUST017487,0.5085,5,32939.020000000004,5.0,73.0,Organic Search,Bronze,16749.49
CUST000325,0.9455,2,17672.79,7.0,205.0,Organic Search,Silver,16709.62
CUST011906,0.9462,2,17634.87,3.0,248.0,Direct,Bronze,16686.11
CUST004062,0.6794,4,24559.600000000002,7.0,37.0,Direct,Bronze,16685.79
CUST001921,0.8783,3,18978.84,3.0,173.0,,Silver,16669.12
CUST010903,0.8036,3,20738.61,3.0,149.0,Organic Search,Platinum,16665.55
CUST000908,0.8346,3,19894.27,4.0,141.0,Paid Social,Platinum,16603.76
CUST017323,0.9223,2,17967.46,6.0,166.0,Organic Search,,16571.39
CUST006892,0.9878,1,16571.49,3.0,239.0,Organic Search,,16369.32
CUST006843,0.3435,7,47645.25,7.0,9.0,Organic Search,Silver,16366.14
CUST002995,0.921,2,17627.379999999997,5.0,198.0,Organic Search,Silver,16234.82
CUST016906,0.8298,3,19504.61,7.0,115.0,Direct,Silver,16184.93
CUST010379,0.2288,9,70579.36,15.0,31.0,Direct,Bronze,16148.56
CUST005369,0.9677,1,16653.47,4.0,209.0,Email Campaign,Silver,16115.56
CUST004996,0.936,2,17091.3,5.0,127.0,Marketplace,Silver,15997.46
CUST013341,0.9242,2,17210.690000000002,6.0,172.0,,Platinum,15906.12
CUST012859,0.871,3,18232.92,8.0,97.0,Organic Search,Gold,15880.87
CUST013296,0.7285,4,21745.55,7.0,88.0,Paid Social,Platinum,15841.63
CUST005894,0.9039,3,17418.260000000002,6.0,105.0,Organic Search,Bronze,15744.37
CUST004395,0.706,4,22278.620000000003,5.0,56.0,Paid Social,Gold,15728.71
CUST015714,0.8942,3,17586.48,5.0,112.0,,Bronze,15725.83
CUST006107,0.8558,3,18371.35,5.0,100.0,Influencer,Silver,15722.2
CUST002150,0.9772,1,16072.779999999999,3.0,204.0,Paid Social,Gold,15706.32
CUST002386,0.8849,3,17729.68,4.0,106.0,Referral,Bronze,15688.99
CUST019104,0.2887,8,54169.51,6.0,10.0,Organic Search,Silver,15638.74
CUST008124,0.9096,2,17175.72,6.0,108.0,Paid Social,Bronze,15623.03
CUST003332,0.9431,2,16535.67,4.0,117.0,Email Campaign,Silver,15594.79
CUST016784,0.9405,2,16341.79,6.0,241.0,Organic Search,Gold,15369.45
CUST012136,0.381,7,40139.0,5.0,0.0,Organic Search,,15292.96
CUST001127,0.5505,5,27752.37,4.0,231.0,Paid Social,Silver,15277.68
CUST004878,0.9354,2,16303.33,5.0,139.0,Organic Search,Bronze,15250.13
CUST019809,0.9758,1,15590.6,2.0,340.0,Direct,Gold,15213.31
CUST002527,0.7637,3,19917.64,6.0,99.0,Paid Social,Silver,15211.1
CUST012625,0.9545,2,15923.380000000001,6.0,242.0,Paid Social,Silver,15198.87
CUST003558,0.928,2,16375.57,4.0,135.0,Paid Social,,15196.53
CUST012663,0.9265,2,16344.720000000001,3.0,102.0,Email Campaign,Bronze,15143.38
CUST014035,0.9393,2,16114.18,2.0,117.0,Organic Search,Bronze,15136.05
CUST008272,0.7711,3,19541.010000000002,6.0,167.0,Email Campaign,Silver,15068.07
CUST009428,0.9763,1,15412.539999999999,2.0,242.0,Paid Social,Silver,15047.26
CUST008792,0.9351,2,16046.56,4.0,158.0,Paid Social,Platinum,15005.14
CUST015317,0.2854,8,52419.06,7.0,1.0,Referral,Bronze,14960.4
CUST016670,0.9696,1,15301.61,4.0,209.0,Referral,Platinum,14836.44
CUST005662,0.917,2,16172.49,5.0,224.0,Marketplace,Bronze,14830.17
CUST000868,0.749,3,19782.98,13.0,72.0,Referral,Silver,14817.45
CUST003969,0.2324,9,63591.310000000005,13.0,32.0,Organic Search,Silver,14778.62
CUST000443,0.9704,1,15207.81,5.0,251.0,Organic Search,Silver,14757.66
CUST004768,0.9828,1,14903.06,1.0,420.0,,Silver,14646.73
CUST019862,0.6468,4,22544.53,4.0,118.0,Organic Search,Platinum,14581.8
CUST015193,0.8942,3,16231.83,4.0,117.0,Paid Social,Silver,14514.5
CUST016303,0.7058,4,20475.23,7.0,97.0,Direct,Bronze,14451.42
CUST009022,0.9723,1,14838.060000000001,2.0,193.0,Referral,,14427.05
CUST012165,0.8319,3,17325.31,6.0,110.0,Organic Search,Platinum,14412.93
CUST001362,0.7946,3,18069.73,12.0,132.0,Email Campaign,Silver,14358.21
CUST009409,0.9276,2,15398.59,7.0,166.0,Organic Search,Bronze,14283.73
CUST005068,0.3591,7,39617.3,7.0,11.0,Organic Search,,14226.57
CUST016173,0.9842,1,14442.21,5.0,247.0,Paid Social,Silver,14214.02
CUST013009,0.9736,1,14571.01,3.0,284.0,Referral,Bronze,14186.34
CUST010387,0.9188,2,15357.07,2.0,113.0,Paid Social,Silver,14110.08
CUST019847,0.9042,3,15599.11,4.0,107.0,Organic Search,Bronze,14104.72
CUST006754,0.8806,3,15950.1,2.0,125.0,Paid Social,Gold,14045.66
CUST012314,0.9888,1,14176.489999999998,3.0,295.0,Influencer,Silver,14017.71
CUST014300,0.9749,1,14374.900000000001,3.0,277.0,Paid Social,Bronze,14014.09
CUST003910,0.8209,3,17070.300000000003,5.0,80.0,Email Campaign,Bronze,14013.01
CUST003734,0.9302,2,15058.06,2.0,121.0,,Bronze,14007.01
CUST019244,0.9661,1,14461.84,3.0,181.0,,Bronze,13971.58
CUST007304,0.9601,2,14417.73,2.0,266.0,Organic Search,Bronze,13842.46
CUST019994,0.8792,3,15706.67,7.0,144.0,Direct,Bronze,13809.3
CUST004898,0.9158,2,15041.91,9.0,189.0,Email Campaign,Platinum,13775.38
CUST001414,0.4806,5,28606.8,3.0,10.0,Marketplace,Platinum,13748.43
CUST012123,0.9755,1,14043.96,3.0,327.0,Paid Social,,13699.88
CUST008703,0.9072,2,15100.64,1.0,122.0,,Silver,13699.3
CUST009820,0.9632,1,14206.76,2.0,187.0,Organic Search,,13683.95
CUST016478,0.9116,2,14958.85,4.0,107.0,Referral,Bronze,13636.49
CUST008502,0.4514,6,30195.89,5.0,163.0,Organic Search,Bronze,13630.42
CUST002657,0.4072,6,33310.1,7.0,11.0,Email Campaign,Bronze,13563.87
CUST008227,0.9263,2,14594.09,4.0,143.0,Influencer,Silver,13518.51
CUST019856,0.9565,2,14130.38,3.0,209.0,Direct,Gold,13515.71
CUST015696,0.2736,8,49305.880000000005,7.0,15.0,Email Campaign,Silver,13490.09
CUST005087,0.9727,1,13838.71,3.0,349.0,Referral,Bronze,13460.91
CUST001251,0.9193,2,14554.53,2.0,109.0,Paid Social,Platinum,13379.98
CUST006485,0.5685,4,23524.28,3.0,82.0,Organic Search,Bronze,13373.55
CUST018112,0.8933,3,14883.109999999999,2.0,166.0,Paid Social,Bronze,13295.08
CUST005374,0.7685,3,17255.22,5.0,49.0,Influencer,Silver,13260.64
CUST013145,0.3867,7,34250.59,8.0,35.0,Influencer,Gold,13244.7
CUST002110,0.801,3,16534.77,9.0,42.0,Organic Search,Gold,13244.35
CUST013098,0.8931,3,14795.23,5.0,156.0,Direct,Gold,13213.62
CUST013830,0.7808,3,16893.97,6.0,74.0,Direct,Platinum,13190.81
CUST009197,0.9366,2,14060.99,5.0,123.0,Direct,Silver,13169.52
CUST012062,0.9326,2,14055.939999999999,6.0,143.0,Paid Social,Gold,13108.57
CUST014265,0.5969,4,21943.95,4.0,65.0,Paid Social,Gold,13098.34
CUST001200,0.9728,1,13443.08,3.0,309.0,Organic Search,Bronze,13077.43
CUST005370,0.9386,2,13872.119999999999,6.0,171.0,Direct,Silver,13020.37
CUST016578,0.9735,1,13371.39,4.0,245.0,Direct,,13017.05
CUST000442,0.3959,7,32847.08,3.0,81.0,Referral,Bronze,13004.16
CUST014901,0.9742,1,13338.42,3.0,256.0,Influencer,Bronze,12994.29
CUST014041,0.9697,1,13393.27,3.0,379.0,Referral,Gold,12987.45
CUST007164,0.9906,1,13109.12,3.0,343.0,Influencer,Silver,12985.89
CUST013926,0.6622,4,19522.19,3.0,104.0,,Bronze,12927.59
CUST012510,0.9663,1,13358.619999999999,2.0,369.0,Email Campaign,Bronze,12908.43
CUST013014,0.9354,2,13786.8,3.0,240.0,Marketplace,Silver,12896.17
CUST016896,0.4101,6,31412.4,6.0,17.0,Paid Social,Bronze,12882.23
CUST018264,0.9221,2,13962.11,5.0,125.0,Referral,Bronze,12874.46
CUST018238,0.3258,8,39477.06,5.0,112.0,Paid Social,Silver,12861.63
CUST002142,0.7986,3,16099.33,7.0,122.0,Organic Search,Gold,12856.92
CUST002092,0.9591,2,13402.53,3.0,276.0,Marketplace,Bronze,12854.37
CUST006094,0.8258,3,15542.279999999999,9.0,111.0,,Bronze,12834.81
CUST019211,0.9341,2,13656.68,10.0,214.0,Email Campaign,,12756.7
CUST018307,0.7173,4,17739.260000000002,13.0,82.0,Referral,Gold,12724.37
CUST010571,0.9769,1,13017.079999999998,4.0,190.0,Organic Search,Bronze,12716.39
CUST015526,0.9578,2,13255.01,6.0,285.0,Organic Search,Gold,12695.65
CUST007324,0.4851,5,26131.18,4.0,16.0,Email Campaign,Platinum,12676.24
CUST012124,0.7644,3,16577.75,4.0,78.0,Paid Social,,12672.03
CUST003946,0.8978,3,14101.93,5.0,177.0,Referral,Bronze,12660.71
CUST007049,0.8375,3,15099.62,5.0,116.0,Paid Social,Silver,12645.93
CUST009518,0.8069,3,15647.84,6.0,97.0,Paid Social,Gold,12626.24
CUST009986,0.6611,4,19095.8,10.0,72.0,Email Campaign,Silver,12624.23
CUST002957,0.3854,7,32651.57,6.0,65.0,Marketplace,Bronze,12583.92
CUST014185,0.981,1,12819.98,3.0,258.0,Paid Social,Bronze,12576.4
CUST001869,0.9801,1,12830.59,3.0,365.0,Influencer,Gold,12575.26
CUST016938,0.7735,3,16238.210000000001,4.0,70.0,Direct,Silver,12560.26
CUST016139,0.5369,5,23376.97,3.0,121.0,Influencer,Bronze,12551.1
CUST016957,0.8532,3,14709.23,4.0,81.0,Email Campaign,Silver,12549.92
CUST019536,0.4642,6,26989.63,3.0,29.0,Organic Search,Bronze,12528.59
CUST016268,0.8889,3,14028.02,7.0,164.0,Organic Search,Silver,12469.51
CUST008033,0.9795,1,12730.44,1.0,325.0,Marketplace,Bronze,12469.47
CUST013337,0.4551,6,27208.92,7.0,63.0,Paid Social,Gold,12382.78
CUST001951,0.9176,2,13453.86,4.0,99.0,Paid Social,Silver,12345.26
CUST001972,0.8678,3,14198.42,3.0,106.0,Influencer,Bronze,12321.39
CUST017027,0.8919,3,13798.98,1.0,220.0,Paid Social,Silver,12307.31
CUST006224,0.981,1,12531.71,1.0,378.0,Email Campaign,Bronze,12293.61
CUST019677,0.8929,3,13761.699999999999,3.0,95.0,Organic Search,Bronze,12287.82
CUST014702,0.9632,1,12741.82,4.0,187.0,Organic Search,Bronze,12272.92
CUST001773,0.9628,1,12711.66,2.0,285.0,Organic Search,Bronze,12238.79
CUST016504,0.948,2,12891.720000000001,3.0,188.0,Marketplace,Gold,12221.35
CUST001497,0.9568,2,12761.68,4.0,397.0,,Silver,12210.38
CUST008573,0.9112,2,13394.74,3.0,114.0,Marketplace,,12205.29
CUST014054,0.9158,2,13306.880000000001,8.0,122.0,,Silver,12186.44
CUST008566,0.6495,4,18755.59,3.0,175.0,Organic Search,Bronze,12181.76
CUST010888,0.5717,4,21222.09,5.0,125.0,Paid Social,Silver,12132.67
CUST005277,0.5771,4,20958.989999999998,3.0,146.0,Influencer,Bronze,12095.43
CUST019981,0.9055,3,13343.71,6.0,147.0,Referral,Silver,12082.73
CUST008356,0.8445,3,14306.27,8.0,67.0,Organic Search,Bronze,12081.65
CUST010785,0.9824,1,12278.689999999999,3.0,346.0,,Bronze,12062.59
CUST000595,0.4224,6,28463.899999999998,3.0,23.0,Paid Social,Platinum,12023.15
CUST013762,0.7033,4,17094.059999999998,8.0,94.0,Direct,Bronze,12022.25
CUST002827,0.9693,1,12402.310000000001,5.0,238.0,,,12021.56
CUST017966,0.7246,4,16560.34,8.0,45.0,Organic Search,Bronze,11999.62
CUST013301,0.9872,1,12152.36,1.0,439.0,Organic Search,,11996.81
CUST012572,0.4038,6,29646.72,8.0,40.0,Organic Search,Gold,11971.35
CUST016179,0.9658,1,12390.79,5.0,246.0,Direct,Silver,11967.02
CUST008751,0.9858,1,12138.82,1.0,426.0,Email Campaign,Bronze,11966.45
CUST016084,0.7315,3,16353.59,6.0,59.0,Direct,Platinum,11962.65
CUST004101,0.9295,2,12859.33,5.0,165.0,Organic Search,Bronze,11952.75
CUST006336,0.9305,2,12828.47,4.0,180.0,Email Campaign,Gold,11936.89
CUST009573,0.9095,2,13078.99,4.0,97.0,Organic Search,Silver,11895.34
CUST002280,0.1605,10,74092.55,14.0,4.0,Organic Search,Bronze,11891.85
CUST010454,0.9152,2,12986.6,2.0,265.0,Organic Search,Silver,11885.34
CUST011400,0.9856,1,12056.4,1.0,454.0,Referral,Silver,11882.79
CUST012285,0.3564,7,33297.89,5.0,8.0,Influencer,Silver,11867.37
CUST011930,0.9034,3,13133.130000000001,3.0,168.0,Paid Social,Silver,11864.47
CUST017472,0.5292,5,22409.82,5.0,73.0,Referral,Bronze,11859.28
CUST006131,0.7541,3,15718.29,13.0,104.0,Referral,Platinum,11853.16
CUST900105,0.9469,2,12493.369999999999,8.0,282.0,Organic Search,,11829.97
CUST015176,0.7693,3,15375.48,4.0,104.0,Organic Search,,11828.36
CUST008395,0.8596,3,13719.470000000001,7.0,113.0,Organic Search,Silver,11793.26
CUST018310,0.2653,8,44437.33,5.0,31.0,Email Campaign,Gold,11789.22
CUST018573,0.8974,3,13126.79,3.0,162.0,Referral,Bronze,11779.98
CUST002877,0.913,2,12847.91,4.0,278.0,Email Campaign,Bronze,11730.14
CUST000974,0.9814,1,11937.5,2.0,313.0,,Silver,11715.46
CUST018633,0.4581,6,25511.38,2.0,85.0,Influencer,Gold,11686.76
CUST018921,0.5618,4,20700.47,4.0,98.0,Direct,Bronze,11629.52
CUST010165,0.4687,5,24785.56,6.0,35.0,Referral,Silver,11616.99
CUST002344,0.9325,2,12420.55,5.0,188.0,Paid Social,Silver,11582.16
CUST018827,0.8951,3,12928.380000000001,4.0,161.0,Organic Search,Gold,11572.19
CUST004882,0.1959,9,59009.95,10.0,21.0,Organic Search,Silver,11560.05
CUST007142,0.979,1,11792.08,3.0,227.0,Organic Search,Silver,11544.45
CUST019411,0.8344,3,13833.710000000001,3.0,139.0,Paid Social,Bronze,11542.85
CUST002866,0.8963,3,12835.07,8.0,112.0,Referral,Bronze,11504.07
CUST000050,0.9705,1,11832.560000000001,2.0,228.0,Paid Social,Bronze,11483.5
CUST016582,0.8077,3,14189.94,5.0,118.0,Organic Search,,11461.21
CUST014587,0.9356,2,12236.08,4.0,144.0,Email Campaign,Silver,11448.08
CUST018052,0.9688,1,11796.720000000001,3.0,259.0,Organic Search,Silver,11428.66
CUST006870,0.535,5,21349.329999999998,4.0,75.0,Influencer,Bronze,11421.89
CUST013039,0.4292,6,26594.05,2.0,33.0,Organic Search,,11414.17
CUST001903,0.869,3,13126.27,9.0,96.0,Direct,Platinum,11406.73
CUST004269,0.8827,3,12921.419999999998,5.0,200.0,Influencer,,11405.74
CUST003503,0.5305,5,21495.17,3.0,45.0,Organic Search,Gold,11403.19
CUST001623,0.7241,4,15728.98,2.0,58.0,Paid Social,Bronze,11389.35
CUST012025,0.9652,1,11781.67,2.0,182.0,Paid Social,Bronze,11371.67
CUST008736,0.2897,8,39225.729999999996,11.0,37.0,Referral,Bronze,11363.69
CUST001110,0.8903,3,12756.0,4.0,169.0,Direct,Silver,11356.67
CUST017173,0.2953,8,38313.95,7.0,82.0,Referral,Bronze,11314.11
CUST017231,0.5702,4,19838.24,2.0,17.0,Organic Search,Bronze,11311.76
CUST013663,0.9794,1,11537.99,2.0,246.0,Marketplace,Bronze,11300.31
CUST015897,0.871,3,12925.27,6.0,98.0,Direct,Bronze,11257.91
CUST007888,0.8342,3,13477.48,4.0,61.0,Marketplace,Platinum,11242.91
CUST000533,0.6954,4,16162.369999999999,7.0,35.0,Influencer,Silver,11239.31
CUST011036,0.9818,1,11428.98,2.0,351.0,Organic Search,Bronze,11220.97
CUST018024,0.8926,3,12547.68,4.0,94.0,Organic Search,Bronze,11200.06
CUST015070,0.2575,9,43465.38,10.0,10.0,Email Campaign,Silver,11192.34
CUST007839,0.9756,1,11467.33,4.0,289.0,Direct,Silver,11187.53
CUST004036,0.8807,3,12701.95,5.0,101.0,Influencer,Silver,11186.61
CUST016717,0.8697,3,12853.119999999999,8.0,179.0,Email Campaign,Bronze,11178.36
CUST900136,0.9741,1,11471.01,1.0,199.0,,Bronze,11173.91
CUST017214,0.9758,1,11444.35,2.0,197.0,Organic Search,Bronze,11167.4
CUST016092,0.9679,1,11530.73,1.0,231.0,Paid Social,Silver,11160.59
CUST000897,0.5268,5,21138.2,5.0,101.0,Influencer,Bronze,11135.6
CUST004414,0.2925,8,38035.41,8.0,41.0,Direct,,11125.36
CUST019569,0.8486,3,13103.390000000001,6.0,87.0,Referral,Bronze,11119.54
CUST001933,0.9465,2,11718.55,2.0,121.0,Direct,Silver,11091.61
CUST005028,0.9628,1,11508.86,3.0,258.0,Email Campaign,Silver,11080.73
CUST005706,0.5252,5,21091.18,3.0,110.0,Direct,Bronze,11077.09
CUST016305,0.7617,3,14541.19,4.0,77.0,Influencer,Gold,11076.02
CUST019644,0.8517,3,12998.53,9.0,107.0,Influencer,Silver,11070.85
CUST017909,0.9748,1,11326.890000000001,3.0,191.0,Referral,Gold,11041.45
CUST007849,0.9229,2,11960.98,2.0,126.0,Influencer,Silver,11038.79
CUST012153,0.9248,2,11931.34,2.0,144.0,Influencer,Bronze,11034.1
CUST018344,0.9792,1,11231.980000000001,2.0,359.0,Influencer,Silver,10998.35
CUST014153,0.7346,3,14964.8,4.0,59.0,Direct,Bronze,10993.14
CUST003634,0.3964,7,27708.92,5.0,22.0,Influencer,Platinum,10983.82
CUST009017,0.7779,3,14110.48,6.0,78.0,Organic Search,Bronze,10976.54
CUST001410,0.354,7,30991.04,3.0,98.0,Influencer,Bronze,10970.83
CUST011255,0.9197,2,11912.18,5.0,145.0,Referral,Gold,10955.63
CUST000725,0.4217,6,25900.52,4.0,106.0,Organic Search,Bronze,10922.25
CUST017355,0.957,2,11406.85,1.0,357.0,Influencer,Silver,10916.36
CUST006798,0.9682,1,11267.77,1.0,341.0,Marketplace,Bronze,10909.45
CUST002097,0.5899,4,18490.83,5.0,116.0,Direct,Silver,10907.74
CUST008869,0.8188,3,13296.26,5.0,73.0,Paid Social,Silver,10886.98
CUST017595,0.9777,1,11127.97,2.0,284.0,,Bronze,10879.82
CUST003591,0.4645,6,23421.57,5.0,11.0,,Silver,10879.32
CUST017830,0.9652,1,11263.67,3.0,256.0,Direct,Bronze,10871.69
CUST010708,0.9864,1,11014.67,3.0,352.0,Organic Search,Gold,10864.87
CUST002777,0.9009,3,12058.279999999999,4.0,154.0,Paid Social,Gold,10863.3
CUST013134,0.9632,1,11276.74,5.0,221.0,Paid Social,Bronze,10861.76
CUST015460,0.9248,2,11716.73,4.0,151.0,Email Campaign,Bronze,10835.63
CUST005672,0.875,3,12341.15,3.0,112.0,Paid Social,Bronze,10798.51
CUST019530,0.9792,1,11010.16,3.0,271.0,Organic Search,Silver,10781.15
CUST002983,0.1748,9,61488.79,12.0,24.0,Direct,Silver,10748.24
CUST006020,0.9705,1,11070.99,3.0,192.0,Email Campaign,Bronze,10744.4
CUST019673,0.9868,1,10872.34,3.0,338.0,Referral,,10728.83
CUST009068,0.6027,4,17773.65,1.0,44.0,Paid Social,Bronze,10712.18
CUST012717,0.9362,2,11398.44,5.0,117.0,Marketplace,Silver,10671.22
CUST019593,0.2396,9,44519.5,9.0,18.0,Referral,Bronze,10666.87
