review_id,order_id,customer_id,product_id,review_timestamp,rating,review_title,review_text,helpful_votes,verified_purchase
REV0016256,ORD0059982,CUST019459,PRD01102,2025-06-15 16:22:29,5.0,Excellent quality,Customer service resolved my issue quickly.,1.0,True
REV0008665,ORD0058698,CUST019010,PRD00259,2026-05-08 19:16:51,3.0,Not as described,Setup was straightforward and it works well.,2.0,True
REV0002517,ORD0051493,CUST016641,PRD00496,2025-07-21 19:00:37,3.0,Average,Quality is decent for the price paid.,3.0,True
REV0012067,ORD0042453,CUST013765,PRD00092,2025-04-13 14:00:48,4.0,Would buy again,Customer service resolved my issue quickly.,0.0,True
REV0017982,ORD0035288,CUST011462,PRD01458,2025-11-09 18:03:28,3.0,Delivery was slow,Colour is slightly different from the pictures.,1.0,True
REV0000737,ORD0019360,CUST006313,PRD00609,2026-05-19 21:39:11,4.0,Exactly what I wanted,Colour is slightly different from the pictures.,2.0,True
REV0002411,ORD0033445,CUST010839,PRD01334,2026-05-03 10:32:34,3.0,Average,Quality is decent for the price paid.,4.0,True
REV0018686,ORD0061608,CUST019921,PRD00992,2026-06-20 09:57:34,4.0,Fast delivery,Customer service resolved my issue quickly.,1.0,True
REV0016796,ORD0035376,CUST011484,PRD01007,2025-05-03 20:36:35,4.0,Not as described,"Product works as expected, no complaints so far.",1.0,True
REV0005071,ORD0033290,CUST010790,PRD01101,2026-03-14 00:41:07,4.0,Fast delivery,Quality is decent for the price paid.,3.0,True
REV0006235,ORD0046615,CUST015071,PRD01141,2025-08-25 19:58:50,3.0,Highly recommend,Customer service resolved my issue quickly.,3.0,True
REV0016546,ORD0034167,CUST011081,PRD00328,2025-11-10 21:26:53,,Damaged on arrival,Customer service resolved my issue quickly.,2.0,True
REV0000327,ORD0038204,CUST012434,PRD00487,2025-08-05 15:57:29,5.0,Would buy again,,1.0,True
REV0013867,ORD0006416,CUST002098,PRD00383,2025-05-17 06:57:26,3.0,Exactly what I wanted,Packaging was torn but the item is fine.,1.0,True
REV0014975,ORD0019648,CUST006400,PRD00510,2025-12-23 12:54:05,5.0,Highly recommend,Quality is decent for the price paid.,2.0,True
REV0015457,ORD0035382,CUST011485,PRD01005,2026-03-19 16:24:59,3.0,Poor packaging,Rider was polite and the package was sealed.,1.0,True
REV0012562,ORD0020006,CUST006530,PRD00295,2025-06-29 19:33:46,3.0,Very good,Stopped working after two weeks of use.,2.0,True
REV0000043,ORD0045889,CUST014855,PRD00986,2025-12-30 18:30:48,4.0,Would buy again,Stopped working after two weeks of use.,1.0,True
REV0002141,ORD0019716,CUST006423,PRD00928,2025-05-15 17:24:09,4.0,Not as described,Setup was straightforward and it works well.,1.0,True
REV0013813,ORD0011794,CUST003817,PRD00138,2025-09-29 07:47:37,,Very good,Customer service resolved my issue quickly.,0.0,True
REV0016137,ORD0000548,CUST900033,PRD00560,2026-01-01 21:55:53,4.0,Poor packaging,Colour is slightly different from the pictures.,1.0,True
REV0008166,ORD0058848,CUST019068,PRD00852,2025-08-15 12:53:15,,Exactly what I wanted,"Good value, I have ordered a second one.",1.0,True
REV0002248,ORD0051561,CUST016663,PRD00280,2026-06-21 00:08:37,3.0,Poor packaging,Setup was straightforward and it works well.,1.0,True
REV0009840,ORD0018513,CUST005994,PRD00233,2025-09-23 06:54:19,5.0,Fast delivery,Rider was polite and the package was sealed.,0.0,True
REV0009192,ORD0056064,CUST018172,PRD00102,2025-08-15 15:57:10,5.0,Poor packaging,Stopped working after two weeks of use.,2.0,True
REV0009277,ORD0020302,CUST006634,PRD00615,2026-07-19 12:13:55,5.0,Highly recommend,"Good value, I have ordered a second one.",1.0,True
REV0005091,ORD0024615,CUST007962,PRD01466,2026-05-06 13:56:45,3.0,Exactly what I wanted,Customer service resolved my issue quickly.,1.0,True
REV0013649,ORD0058144,CUST018840,PRD01221,2025-09-05 12:31:17,5.0,Poor packaging,Quality is decent for the price paid.,1.0,True
REV0003353,ORD0060749,CUST019692,PRD01053,2026-03-06 19:43:28,3.0,Highly recommend,"Product works as expected, no complaints so far.",0.0,True
REV0012643,ORD0052774,CUST017096,PRD01107,2026-07-01 14:18:00,3.0,Average,Packaging was torn but the item is fine.,3.0,True
REV0015504,ORD0000644,CUST000168,PRD01464,2025-03-14 12:51:33,4.0,Not as described,Rider was polite and the package was sealed.,1.0,True
REV0015547,ORD0058791,CUST019046,PRD01464,2025-03-12 11:16:42,4.0,,Setup was straightforward and it works well.,0.0,True
REV0014548,ORD0032461,CUST010516,PRD00224,2026-02-23 14:43:18,5.0,Not as described,Packaging was torn but the item is fine.,1.0,True
REV0000652,ORD0030122,CUST009738,PRD01248,2025-09-10 08:19:19,4.0,Fast delivery,,1.0,True
REV0015058,ORD0005799,CUST001891,PRD00470,2026-04-10 20:56:47,4.0,Poor packaging,,0.0,True
REV0000734,ORD0044655,CUST014493,PRD01245,2025-09-25 21:01:25,5.0,Not as described,Customer service resolved my issue quickly.,2.0,True
REV0012934,ORD0005728,CUST001869,PRD00556,2025-02-24 12:10:51,3.0,Delivery was slow,Customer service resolved my issue quickly.,1.0,True
REV0017535,ORD0052325,CUST016924,PRD00989,2025-10-28 11:04:55,3.0,Value for money,"Product works as expected, no complaints so far.",5.0,True
REV0004973,ORD0010272,CUST003293,PRD01325,2026-07-10 09:09:23,3.0,Would buy again,Rider was polite and the package was sealed.,3.0,True
REV0003609,ORD0012705,CUST004101,PRD00693,2025-07-25 07:23:31,4.0,Would buy again,Colour is slightly different from the pictures.,2.0,True
REV0016050,ORD0012111,CUST003935,PRD00132,2025-11-27 04:36:02,3.0,Average,Colour is slightly different from the pictures.,0.0,True
REV0016528,ORD0036607,CUST011893,PRD01411,2026-04-08 18:47:06,5.0,Average,Colour is slightly different from the pictures.,2.0,True
REV0008352,ORD0052884,CUST017143,PRD00429,2025-06-20 11:09:23,,Not as described,Colour is slightly different from the pictures.,0.0,True
REV0003770,ORD0048862,CUST015788,PRD01271,2025-12-23 19:05:29,5.0,Exactly what I wanted,Stopped working after two weeks of use.,0.0,True
REV0006509,ORD0013810,CUST004454,PRD00758,2026-02-25 19:11:04,3.0,Would buy again,Stopped working after two weeks of use.,1.0,True
REV0014831,ORD0046992,CUST015190,PRD00835,2025-12-30 15:55:35,4.0,Not as described,Stopped working after two weeks of use.,0.0,True
REV0002857,ORD0059747,CUST019378,PRD00046,2025-11-07 21:45:19,4.0,Fast delivery,"Product works as expected, no complaints so far.",0.0,True
REV0010290,ORD0033661,CUST010919,PRD00316,2026-02-21 23:22:53,3.0,Excellent quality,Stopped working after two weeks of use.,3.0,True
REV0010685,ORD0007369,CUST002373,PRD00352,2025-03-31 12:06:44,5.0,Delivery was slow,Packaging was torn but the item is fine.,2.0,True
REV0007269,ORD0053966,CUST017477,PRD01201,2025-04-22 18:11:09,5.0,Very good,Customer service resolved my issue quickly.,2.0,True
REV0017399,ORD0015762,CUST005083,PRD00625,2025-12-23 16:42:03,4.0,Would buy again,"Product works as expected, no complaints so far.",0.0,True
REV0015188,ORD0035834,CUST011628,PRD00621,2026-07-27 08:23:28,4.0,Would buy again,Item arrived later than the estimated date.,1.0,True
REV0004772,ORD0053730,CUST017408,PRD01421,2025-11-29 09:18:31,4.0,Highly recommend,Quality is decent for the price paid.,4.0,True
REV0009900,ORD0022794,CUST007362,PRD00487,2026-05-12 11:58:29,,Would buy again,Rider was polite and the package was sealed.,1.0,True
REV0009056,ORD0000901,CUST000262,PRD00336,2026-04-05 07:07:24,4.0,Fast delivery,Item arrived later than the estimated date.,2.0,True
REV0017028,ORD0050971,CUST016476,PRD00824,2025-07-15 14:47:10,5.0,Very good,Colour is slightly different from the pictures.,0.0,True
REV0018322,ORD0059766,CUST019386,PRD00994,2026-04-03 16:29:04,4.0,Average,Item arrived later than the estimated date.,1.0,True
REV0009797,ORD0040526,CUST013173,PRD00675,2026-07-07 23:36:03,4.0,Damaged on arrival,Quality is decent for the price paid.,0.0,True
REV0009528,ORD0060970,CUST019759,PRD01446,2026-04-17 07:21:06,2.0,Average,"Good value, I have ordered a second one.",0.0,True
REV0006502,ORD0044443,CUST014425,PRD01253,2025-06-04 16:37:17,4.0,Value for money,Item arrived later than the estimated date.,0.0,True
REV0004090,ORD0024780,CUST008025,PRD00457,2025-04-14 05:58:29,4.0,Very good,Quality is decent for the price paid.,1.0,True
REV0005273,ORD0050444,CUST016315,PRD01364,2026-05-31 11:59:34,4.0,Highly recommend,Quality is decent for the price paid.,2.0,True
REV0012295,ORD0057400,CUST018600,PRD01358,2025-04-15 14:05:05,4.0,Excellent quality,Rider was polite and the package was sealed.,1.0,True
REV0012529,ORD0031047,CUST010017,PRD00058,2025-07-04 12:50:22,3.0,Not as described,Packaging was torn but the item is fine.,1.0,True
REV0013064,ORD0009874,CUST003179,PRD00444,2025-11-02 00:42:41,5.0,Would buy again,Customer service resolved my issue quickly.,1.0,True
REV0015246,ORD0058112,CUST018833,PRD00276,2025-07-23 13:06:18,2.0,Not as described,Rider was polite and the package was sealed.,1.0,True
REV0006225,ORD0021460,CUST006943,PRD00913,2026-04-10 19:16:45,,Delivery was slow,Rider was polite and the package was sealed.,0.0,True
REV0000314,ORD0026041,CUST008423,PRD00459,2025-05-12 10:50:41,4.0,Poor packaging,Rider was polite and the package was sealed.,0.0,True
REV0001158,ORD0007954,CUST002556,PRD00663,2026-05-29 06:54:56,4.0,Not as described,Rider was polite and the package was sealed.,2.0,True
REV0013087,ORD0041402,CUST013456,PRD01024,2026-05-10 21:40:00,4.0,Highly recommend,Item arrived later than the estimated date.,3.0,True
REV0011134,ORD0006133,CUST002021,PRD01326,2026-05-30 20:38:34,3.0,Damaged on arrival,Rider was polite and the package was sealed.,1.0,True
REV0008915,ORD0043060,CUST013945,PRD00615,2025-08-19 09:15:56,4.0,Would buy again,"Good value, I have ordered a second one.",1.0,True
REV0014892,ORD0050028,CUST016189,PRD00979,2026-04-15 19:09:25,5.0,Very good,Colour is slightly different from the pictures.,3.0,True
REV0014561,ORD0043326,CUST014029,PRD01442,2026-03-23 18:23:24,4.0,Damaged on arrival,Rider was polite and the package was sealed.,0.0,True
REV0016789,ORD0043588,CUST014112,PRD01355,2025-07-14 18:44:07,4.0,Not as described,"Good value, I have ordered a second one.",2.0,True
REV0004606,ORD0007754,CUST002485,PRD00825,2025-05-12 13:37:22,3.0,Average,Colour is slightly different from the pictures.,0.0,True
REV0018678,ORD0013850,CUST004469,PRD00025,2025-07-10 13:36:11,4.0,Exactly what I wanted,Setup was straightforward and it works well.,2.0,True
REV0003001,ORD0005777,CUST001885,PRD01105,2026-04-13 15:41:11,3.0,Exactly what I wanted,"Good value, I have ordered a second one.",2.0,True
REV0016873,ORD0050631,CUST016372,PRD00797,2026-05-12 18:54:10,4.0,Excellent quality,"Good value, I have ordered a second one.",1.0,True
REV0000252,ORD0018574,CUST006022,PRD00135,2026-01-06 21:53:29,4.0,Poor packaging,Packaging was torn but the item is fine.,1.0,True
REV0012006,ORD0026490,CUST008584,PRD00115,2026-05-26 07:30:57,3.0,Average,,1.0,True
REV0012398,ORD0018225,CUST005894,PRD00592,2025-04-08 13:29:55,5.0,Excellent quality,"Product works as expected, no complaints so far.",2.0,True
REV0000104,ORD0033571,CUST010894,PRD00649,2025-03-17 11:33:03,4.0,Exactly what I wanted,Item arrived later than the estimated date.,1.0,True
REV0005359,ORD0036001,CUST011680,PRD00080,2026-04-23 07:07:25,4.0,Damaged on arrival,Setup was straightforward and it works well.,1.0,True
REV0002741,ORD0034380,CUST011158,PRD00461,2026-02-15 18:49:17,5.0,Very good,Setup was straightforward and it works well.,0.0,True
REV0002699,ORD0024924,CUST008069,PRD00059,2026-05-22 15:31:30,5.0,Fast delivery,Stopped working after two weeks of use.,0.0,True
REV0008560,ORD0042863,CUST013894,PRD00718,2026-04-15 16:23:19,4.0,Fast delivery,Rider was polite and the package was sealed.,1.0,True
REV0000323,ORD0022575,CUST007286,PRD00259,2025-10-08 13:09:57,3.0,Average,,3.0,True
REV0008472,ORD0020967,CUST006818,PRD00693,2025-12-20 20:12:24,3.0,,Item arrived later than the estimated date.,1.0,True
REV0016840,ORD0058373,CUST018903,PRD00171,2025-05-21 19:45:00,4.0,Very good,"Good value, I have ordered a second one.",1.0,True
REV0009050,ORD0026866,CUST008685,PRD01258,2026-07-01 18:01:47,4.0,Damaged on arrival,"Product works as expected, no complaints so far.",4.0,True
REV0016813,ORD0001361,CUST000423,PRD00380,2026-04-26 12:59:34,3.0,Damaged on arrival,Colour is slightly different from the pictures.,2.0,True
REV0008974,ORD0057172,CUST018528,PRD00914,2025-08-05 19:10:22,4.0,Highly recommend,,1.0,True
REV0017300,ORD0061279,CUST019853,PRD00878,2026-02-11 12:40:04,2.0,Highly recommend,Colour is slightly different from the pictures.,0.0,True
REV0002702,ORD0056830,CUST018403,PRD00543,2026-07-19 01:54:49,5.0,Would buy again,Colour is slightly different from the pictures.,3.0,True
REV0012407,ORD0041161,CUST013371,PRD00131,2025-12-26 15:45:01,4.0,Poor packaging,Packaging was torn but the item is fine.,0.0,True
REV0002731,ORD0019807,CUST006455,PRD00558,2026-06-10 22:03:58,5.0,Average,Customer service resolved my issue quickly.,1.0,True
REV0004450,ORD0060188,CUST019523,PRD00761,2026-02-18 20:11:56,4.0,Exactly what I wanted,Rider was polite and the package was sealed.,1.0,True
REV0003754,ORD0047196,CUST015249,PRD00415,2026-06-25 17:17:04,3.0,Poor packaging,"Good value, I have ordered a second one.",5.0,True
REV0000853,ORD0005613,CUST001826,PRD00392,2026-01-26 06:59:53,5.0,Fast delivery,"Good value, I have ordered a second one.",1.0,True
REV0003949,ORD0058529,CUST018954,PRD00483,2025-09-02 16:50:52,,Exactly what I wanted,Customer service resolved my issue quickly.,1.0,True
REV0001808,ORD0003795,CUST001202,PRD00847,2025-11-06 10:38:01,4.0,Value for money,Stopped working after two weeks of use.,1.0,True
REV0006805,ORD0025390,CUST008194,PRD00333,2026-04-28 10:32:45,,Highly recommend,Item arrived later than the estimated date.,0.0,True
REV0011869,ORD0044325,CUST014370,PRD00800,2026-03-07 07:27:49,4.0,Fast delivery,"Product works as expected, no complaints so far.",7.0,True
REV0002550,ORD0047936,CUST015490,PRD01434,2026-06-10 18:44:30,5.0,Highly recommend,"Good value, I have ordered a second one.",1.0,True
REV0005658,ORD0053384,CUST017302,PRD01322,,4.0,Excellent quality,Setup was straightforward and it works well.,0.0,True
REV0005387,ORD0057234,CUST018556,PRD00518,2025-03-21 19:35:44,5.0,Value for money,Stopped working after two weeks of use.,2.0,True
REV0003012,ORD0010856,CUST003497,PRD00340,2026-01-08 13:38:36,2.0,Value for money,,0.0,True
REV0007027,ORD0050536,CUST016339,PRD01280,2025-07-17 10:24:59,4.0,Value for money,Quality is decent for the price paid.,0.0,True
REV0000424,ORD0018301,CUST005918,PRD01323,2025-08-07 14:58:28,,Very good,Rider was polite and the package was sealed.,0.0,True
REV0014970,ORD0046967,CUST015180,PRD00443,2026-04-26 22:43:55,5.0,Very good,Stopped working after two weeks of use.,1.0,True
REV0008123,ORD0011802,CUST003820,PRD00571,2025-10-11 21:37:47,3.0,Damaged on arrival,Rider was polite and the package was sealed.,2.0,True
REV0015186,ORD0054888,CUST017812,PRD00428,2026-06-10 10:49:17,4.0,Not as described,,4.0,True
REV0003753,ORD0013878,CUST004475,PRD01347,2025-08-14 14:44:57,5.0,,Item arrived later than the estimated date.,2.0,True
REV0006077,ORD0060946,CUST019750,PRD01075,2025-10-20 19:48:57,5.0,Excellent quality,Quality is decent for the price paid.,1.0,True
REV0002040,ORD0032514,CUST010534,PRD00871,2025-02-27 22:12:05,5.0,,Customer service resolved my issue quickly.,2.0,True
REV0016931,ORD0055638,CUST018038,PRD00049,2025-05-15 23:55:49,,Damaged on arrival,Quality is decent for the price paid.,5.0,True
REV0014234,ORD0044993,CUST014591,PRD01422,2025-07-23 17:43:15,3.0,Value for money,"Product works as expected, no complaints so far.",2.0,True
REV0011735,ORD0044334,CUST014370,PRD01299,2025-12-26 12:10:50,5.0,Fast delivery,Setup was straightforward and it works well.,5.0,True
REV0000058,ORD0020498,CUST006687,PRD00834,2025-04-03 18:36:42,4.0,Not as described,Customer service resolved my issue quickly.,3.0,True
REV0015258,ORD0013135,CUST004255,PRD01221,2025-10-15 20:28:50,5.0,Would buy again,"Good value, I have ordered a second one.",0.0,True
REV0013951,ORD0029602,CUST009574,PRD01139,2025-06-16 15:31:05,4.0,Fast delivery,Stopped working after two weeks of use.,2.0,True
REV0006106,ORD0004752,CUST001539,PRD00871,2026-07-14 09:52:15,3.0,Excellent quality,"Product works as expected, no complaints so far.",2.0,True
REV0016143,ORD0037702,CUST012295,PRD01446,2026-02-28 20:29:42,4.0,Very good,Rider was polite and the package was sealed.,2.0,True
REV0015930,ORD0052790,CUST017103,PRD00023,2025-03-21 05:24:27,3.0,Delivery was slow,"Good value, I have ordered a second one.",1.0,True
REV0006761,ORD0002040,CUST000644,PRD00282,2026-01-28 23:57:53,4.0,Highly recommend,Setup was straightforward and it works well.,1.0,True
REV0010431,ORD0033934,CUST010993,PRD01262,2025-07-04 10:55:32,,Would buy again,Item arrived later than the estimated date.,2.0,True
REV0008370,ORD0052027,CUST016827,PRD00621,2025-12-20 14:25:42,4.0,Very good,Stopped working after two weeks of use.,1.0,True
REV0018166,ORD0027758,CUST008964,PRD00333,2026-01-18 12:48:13,5.0,Would buy again,Quality is decent for the price paid.,2.0,True
REV0009579,ORD0049385,CUST015960,PRD00608,2025-11-07 12:47:06,1.0,Exactly what I wanted,Setup was straightforward and it works well.,1.0,True
REV0003939,ORD0020174,CUST006565,PRD01156,2025-12-26 21:54:31,,,"Product works as expected, no complaints so far.",2.0,True
REV0013315,ORD0006259,CUST002038,PRD00500,2026-07-18 15:48:47,4.0,Poor packaging,Rider was polite and the package was sealed.,1.0,True
REV0003051,ORD0028273,CUST009136,PRD00743,2026-01-23 18:15:25,2.0,Excellent quality,"Product works as expected, no complaints so far.",1.0,True
REV0009852,ORD0056384,CUST018281,PRD01223,2026-04-28 21:46:00,,,Item arrived later than the estimated date.,2.0,True
REV0018065,ORD0012365,CUST003995,PRD01073,2026-07-20 21:05:47,3.0,Would buy again,Item arrived later than the estimated date.,3.0,True
REV0005618,ORD0045224,CUST014657,PRD01092,2026-01-06 21:17:10,5.0,Highly recommend,Stopped working after two weeks of use.,3.0,True
REV0007688,ORD0028277,CUST009138,PRD01024,2026-05-02 11:02:39,4.0,Delivery was slow,,2.0,True
REV0012798,ORD0043472,CUST014077,PRD00296,2026-01-21 16:23:49,4.0,Damaged on arrival,Colour is slightly different from the pictures.,2.0,True
REV0008359,ORD0000084,CUST000023,PRD00654,2026-01-15 18:09:04,5.0,Average,Colour is slightly different from the pictures.,2.0,True
REV0009993,ORD0049491,CUST015996,PRD00723,2026-05-20 22:25:01,5.0,Damaged on arrival,,2.0,True
REV0002451,ORD0004298,CUST001395,PRD00511,2025-12-27 16:25:45,4.0,Value for money,"Product works as expected, no complaints so far.",2.0,True
REV0002679,ORD0004911,CUST001577,PRD00176,2025-09-04 10:46:46,3.0,Poor packaging,Stopped working after two weeks of use.,1.0,True
REV0009817,ORD0038452,CUST012510,PRD00069,2025-04-19 18:03:44,4.0,Damaged on arrival,Customer service resolved my issue quickly.,2.0,True
REV0009963,ORD0005637,CUST001830,PRD00626,2026-07-09 18:38:49,3.0,,Colour is slightly different from the pictures.,0.0,True
REV0007542,ORD0016632,CUST005371,PRD00836,2025-06-24 18:55:10,3.0,Not as described,"Good value, I have ordered a second one.",3.0,True
REV0003201,ORD0031327,CUST010114,PRD00458,2025-10-31 15:17:03,4.0,Average,Colour is slightly different from the pictures.,1.0,True
REV0017821,ORD0005992,CUST001977,PRD01255,2026-05-04 19:02:32,3.0,Very good,Rider was polite and the package was sealed.,3.0,True
REV0018538,ORD0051575,CUST016667,PRD00343,2026-07-21 01:49:42,4.0,Not as described,Packaging was torn but the item is fine.,1.0,True
REV0001428,ORD0035490,CUST011519,PRD00383,2025-06-17 11:29:34,3.0,Very good,Colour is slightly different from the pictures.,4.0,True
REV0005927,ORD0051576,CUST016667,PRD00080,2025-02-27 20:30:34,,Would buy again,"Product works as expected, no complaints so far.",3.0,True
REV0010816,ORD0057273,CUST018565,PRD00676,2025-12-07 05:39:07,5.0,Not as described,Stopped working after two weeks of use.,0.0,True
REV0001528,ORD0018506,CUST005994,PRD00354,2026-07-09 20:42:45,4.0,Damaged on arrival,Customer service resolved my issue quickly.,0.0,True
REV0015883,ORD0052048,CUST016832,PRD00797,2026-06-06 16:58:24,,Not as described,Colour is slightly different from the pictures.,2.0,True
REV0013872,ORD0019968,CUST006516,PRD00248,2025-10-26 15:50:18,3.0,Average,Setup was straightforward and it works well.,3.0,True
REV0014286,ORD0027654,CUST008942,PRD00004,2026-05-29 14:19:06,3.0,Value for money,"Product works as expected, no complaints so far.",1.0,True
REV0007015,ORD0017048,CUST005518,PRD01397,2025-07-08 12:49:04,3.0,Not as described,,1.0,True
REV0007290,ORD0024906,CUST008065,PRD00780,2026-03-11 10:19:32,,Excellent quality,Rider was polite and the package was sealed.,1.0,True
REV0013329,ORD0032390,CUST010483,PRD01343,2025-07-21 16:27:50,5.0,Exactly what I wanted,Quality is decent for the price paid.,3.0,True
REV0013253,ORD0001972,CUST000624,PRD00034,2026-02-03 19:57:03,5.0,Fast delivery,Colour is slightly different from the pictures.,0.0,True
REV0017698,ORD0036407,CUST011831,PRD00855,2025-06-20 16:12:48,3.0,Exactly what I wanted,"Good value, I have ordered a second one.",2.0,True
REV0009264,ORD0023601,CUST007631,PRD01095,2026-05-26 22:27:05,3.0,Excellent quality,Stopped working after two weeks of use.,2.0,True
REV0018654,ORD0048197,CUST015560,PRD01148,2025-07-01 17:54:20,3.0,Would buy again,Customer service resolved my issue quickly.,0.0,True
REV0002642,ORD0005228,CUST001682,PRD00139,2026-04-08 21:15:53,3.0,Exactly what I wanted,Customer service resolved my issue quickly.,1.0,True
REV0017570,ORD0049626,CUST016047,PRD00484,2025-11-23 20:36:58,5.0,Very good,Packaging was torn but the item is fine.,0.0,True
REV0008032,ORD0049354,CUST015942,PRD00065,2025-04-25 20:08:09,3.0,Excellent quality,,3.0,True
REV0008632,ORD0003334,CUST001051,PRD01191,2025-05-09 19:40:11,5.0,Damaged on arrival,Setup was straightforward and it works well.,1.0,True
REV0014181,ORD0051170,CUST016529,PRD00528,2025-12-28 04:45:21,2.0,Very good,Rider was polite and the package was sealed.,1.0,True
